Gene	DNA	RNA
TOBG-MED-1116_96	23.2500708891271	155.341420185012
TOBG-MED-1116_99	45.3303268907509	17.2083477191801
TOBG-MED-1269_1323	3.6848271859046	64.1600400032908
TOBG-MED-1269_422	81.2442090650656	3.52480165842144
TOBG-MED-1269_673	18.624087792324	39.5925395585478
TOBG-MED-1269_757	1.85665171963663	1.12771861405446
TOBG-MED-1270_1051	1.87111162399517	5.68250734652054
TOBG-MED-1270_120	6.28928619164869	19.1003650076764
TOBG-MED-1270_1217	6.60029484947747	28.0628439728168
TOBG-MED-1270_1328	5.80315779036183	3.52480165842144
TOBG-MED-1270_1332	4.29019165216035	10.4233420470463
TOBG-MED-1270_138	2.12988238050514	6.46838602210317
TOBG-MED-1270_14	8.64211268061078	31.4949903579815
TOBG-MED-1270_15	3.04114851292379	46.179363499572
TOBG-MED-1270_151	3.13643253943838	5.71514838088698
TOBG-MED-1270_16	42.2976641762288	20.5530688251616
TOBG-MED-1270_168	3.03346884496187	9.21254978905603
TOBG-MED-1270_178	17.6654950383073	25.751786233879
TOBG-MED-1270_180	39.4778198978136	270.615406197961
TOBG-MED-1270_250	5.85977396392634	3.55918996728409
TOBG-MED-1270_259	31.8916901576522	19.3708126538028
TOBG-MED-1270_277	1.78757985506681	5.42882398283659
TOBG-MED-1270_320	1.47937643177943	0.898563969572953
TOBG-MED-1270_351	26.9188495821826	16.3503404659549
TOBG-MED-1270_381	5.04728429665924	6.13137767473309
TOBG-MED-1270_389	3.05662509568677	1.85657491932122
TOBG-MED-1270_457	11.5951125734064	8.45135841652399
TOBG-MED-1270_460	49.5362335094804	436.275966092864
TOBG-MED-1270_48	6.05165573100705	5.51360662438215
TOBG-MED-1270_603	1.68952695162433	6.1572484666096
TOBG-MED-1270_630	28.7916989705568	14.5732478687065
TOBG-MED-1270_674	1.54402784396517	1.8756656639929
TOBG-MED-1270_692	64.1238609931441	57.1243656670862
TOBG-MED-1270_707	3.14464309582434	11.4602190046058
TOBG-MED-1270_720	3.77752724089591	9.17778545022941
TOBG-MED-1270_766	3.83787112653322	32.635384045065
TOBG-MED-1270_794	2.80666743599275	11.9332654276931
TOBG-MED-1270_842	4.63804502936254	19.7198363052226
TOBG-MED-1270_9	2.00042241899234	1.21504403545918
TOBG-MED-1270_947	5.51033790185733	13.3877787760227
TOBG-MED-1270_960	90.761387841259	12.9712701029909
TOBG-MED-1270_987	2.99564504390249	3.63907203637525
TOBG-MED-174_1045	6.78674385652485	6.18333850248507
TOBG-MED-174_106	3.97766113445331	18.1200482605937
TOBG-MED-174_108	4.63804502936254	7.04279868043666
TOBG-MED-174_120	13.558167749491	13.1762337389298
TOBG-MED-174_1218	10.9204878418627	55.2752987343362
TOBG-MED-174_123	8.08018158702847	8.17975272750267
TOBG-MED-174_1248	9.9004422742162	6.01346656560361
TOBG-MED-174_1258	8.11657880138445	14.789877228917
TOBG-MED-174_129	2.17028665330605	1.97732775960227
TOBG-MED-174_1291	9.61002930083919	5.8370715463459
TOBG-MED-174_131	14.0006254382855	10.2046705355698
TOBG-MED-174_132	23.370693824998	2.83904258090754
TOBG-MED-174_1328	7.12910185522195	82.2732636354393
TOBG-MED-174_133	31.5703984915873	2.8763493165305
TOBG-MED-174_1394	9.36041815016804	11.3709185967777
TOBG-MED-174_1396	2.29246882176507	25.0637614108364
TOBG-MED-174_1400	13.3968809955937	48.8230891422984
TOBG-MED-174_143	14.7695122451422	7.9741414567567
TOBG-MED-174_160	4.71079867688196	25.751786233879
TOBG-MED-174_161	3.95149231120032	28.8013398668383
TOBG-MED-174_167	20.4034592374505	13.9420498718453
TOBG-MED-174_179	9.38479423910077	5.70026518197842
TOBG-MED-174_265	4.50751843378949	23.2716267091652
TOBG-MED-174_339	5.56135954909675	6.75586984530776
TOBG-MED-174_365	1.83117936372698	6.67348118865766
TOBG-MED-174_368	14.4150439512588	11.0904359380572
TOBG-MED-174_374	5.9763863811189	1.81500980918716
TOBG-MED-174_426	4.67413876499961	0.94634752696918
TOBG-MED-174_441	1.87989618561017	9.13469725562739
TOBG-MED-174_457	10.8710738697276	19.8090663337531
TOBG-MED-174_509	7.80034845847337	14.2136482459722
TOBG-MED-174_598	8.8981752785548	21.6187835049848
TOBG-MED-174_60	20.9825967267231	127.446976994452
TOBG-MED-174_663	7.69048439567797	18.6846080228742
TOBG-MED-174_68	10.8221050685126	9.85991815261132
