KO_ID	Category1
K03952	Oxidative phosphorylation
K03953	Oxidative phosphorylation
K03954	Oxidative phosphorylation
K03955	Oxidative phosphorylation
K03956	Oxidative phosphorylation
K11352	Oxidative phosphorylation
K11353	Oxidative phosphorylation
K03957	Oxidative phosphorylation
K03958	Oxidative phosphorylation
K03959	Oxidative phosphorylation
K03960	Oxidative phosphorylation
K03961	Oxidative phosphorylation
K03962	Oxidative phosphorylation
K03963	Oxidative phosphorylation
K03964	Oxidative phosphorylation
K03965	Oxidative phosphorylation
K03966	Oxidative phosphorylation
K11351	Oxidative phosphorylation
K03967	Oxidative phosphorylation
K03968	Oxidative phosphorylation
K00356	Oxidative phosphorylation
K03885	Oxidative phosphorylation
K00234	Oxidative phosphorylation
K00235	Oxidative phosphorylation
K00236	Oxidative phosphorylation
K00237	Oxidative phosphorylation
K00239	Oxidative phosphorylation
K00240	Oxidative phosphorylation
K00241	Oxidative phosphorylation
K00242	Oxidative phosphorylation
K18859	Oxidative phosphorylation
K18860	Oxidative phosphorylation
K00244	Oxidative phosphorylation
K00245	Oxidative phosphorylation
K00246	Oxidative phosphorylation
K00247	Oxidative phosphorylation
K00411	Oxidative phosphorylation
K00412	Oxidative phosphorylation
K00413	Oxidative phosphorylation
K00410	Oxidative phosphorylation
K00414	Oxidative phosphorylation
K00415	Oxidative phosphorylation
K00416	Oxidative phosphorylation
K00417	Oxidative phosphorylation
K00418	Oxidative phosphorylation
K00419	Oxidative phosphorylation
K00420	Oxidative phosphorylation
K03886	Oxidative phosphorylation
K03887	Oxidative phosphorylation
K03888	Oxidative phosphorylation
K03889	Oxidative phosphorylation
K03890	Oxidative phosphorylation
K03891	Oxidative phosphorylation
K02301	Oxidative phosphorylation
K02257	Oxidative phosphorylation
K02300	Oxidative phosphorylation
K02277	Oxidative phosphorylation
K02276	Oxidative phosphorylation
K02274	Oxidative phosphorylation
K15408	Oxidative phosphorylation
K02275	Oxidative phosphorylation
K02262	Oxidative phosphorylation
K02256	Oxidative phosphorylation
K02261	Oxidative phosphorylation
K02263	Oxidative phosphorylation
K02264	Oxidative phosphorylation
K02265	Oxidative phosphorylation
K02266	Oxidative phosphorylation
K02267	Oxidative phosphorylation
K02268	Oxidative phosphorylation
K02269	Oxidative phosphorylation
K02270	Oxidative phosphorylation
K02271	Oxidative phosphorylation
K02272	Oxidative phosphorylation
K02273	Oxidative phosphorylation
K02258	Oxidative phosphorylation
K02259	Oxidative phosphorylation
K02260	Oxidative phosphorylation
K00404	Oxidative phosphorylation
K00405	Oxidative phosphorylation
K15862	Oxidative phosphorylation
K00407	Oxidative phosphorylation
K00406	Oxidative phosphorylation
K02829	Oxidative phosphorylation
K02828	Oxidative phosphorylation
K02827	Oxidative phosphorylation
K02826	Oxidative phosphorylation
K02299	Oxidative phosphorylation
K02298	Oxidative phosphorylation
K02297	Oxidative phosphorylation
K00425	Oxidative phosphorylation
K00426	Oxidative phosphorylation
K02111	Oxidative phosphorylation
K02112	Oxidative phosphorylation
K02115	Oxidative phosphorylation
K02113	Oxidative phosphorylation
K02114	Oxidative phosphorylation
K02108	Oxidative phosphorylation
K02109	Oxidative phosphorylation
K02110	Oxidative phosphorylation
K02132	Oxidative phosphorylation
K02133	Oxidative phosphorylation
K02136	Oxidative phosphorylation
K02134	Oxidative phosphorylation
K02135	Oxidative phosphorylation
