CDS	DNA	RNA
TOBG-MED-1116_178	2.717496	0
TOBG-MED-1116_179	1.587571	0
TOBG-MED-1116_18	0.913937	0
TOBG-MED-1116_180	0.943838	0
TOBG-MED-1116_183	0.587296	0
TOBG-MED-1116_186	1.951725	0
TOBG-MED-1116_187	11.367359	0
TOBG-MED-1116_188	32.062568	0
TOBG-MED-1116_189	8.10651	0
TOBG-MED-1116_190	9.265727	0
TOBG-MED-1116_191	5.183538	0
TOBG-MED-1116_192	6.7841	0
TOBG-MED-1116_193	7.013164	0
TOBG-MED-1116_194	9.3437	0
TOBG-MED-1116_195	2.790515	0
TOBG-MED-1116_197	8.228492	0
TOBG-MED-1116_198	5.914311	0
TOBG-MED-1116_199	13.268493	0.702416
TOBG-MED-1116_2	2.144995	0
TOBG-MED-1116_202	3.436953	0
TOBG-MED-1116_203	3.201923	0
TOBG-MED-1116_204	1.369798	0
TOBG-MED-1116_205	6.712257	0
TOBG-MED-1116_206	10.355434	0
TOBG-MED-1116_207	3.36807	0
TOBG-MED-1116_208	3.989042	0
TOBG-MED-1116_209	1.847382	0
TOBG-MED-1116_211	2.983343	0
TOBG-MED-1116_212	7.408924	0
TOBG-MED-1116_213	1.621862	0
TOBG-MED-1116_215	2.84184	166.650782
TOBG-MED-1116_217	14.591207	10.389418
TOBG-MED-1116_218	4.435018	0
TOBG-MED-1116_219	18.526117	0
TOBG-MED-1116_223	3.185619	0.33208
TOBG-MED-1116_224	4.854463	0.161545
TOBG-MED-1116_226	7.861064	0
TOBG-MED-1116_227	2.044088	2.737366
TOBG-MED-1116_229	1.291176	0
TOBG-MED-1116_23	1.19601	0
TOBG-MED-1116_230	1.707177	0
TOBG-MED-1116_232	2.370184	0
TOBG-MED-1116_235	1.544669	0
TOBG-MED-1116_236	3.201923	0
TOBG-MED-1116_241	2.043016	0
TOBG-MED-1116_243	6.824673	0
TOBG-MED-1116_244	2.144253	0
TOBG-MED-1116_252	8.313219	0
TOBG-MED-1116_256	3.483061	0
TOBG-MED-1116_257	1.937163	0
TOBG-MED-1116_260	0.68671	0
TOBG-MED-1116_263	11.038424	0
TOBG-MED-1116_264	6.416707	0
TOBG-MED-1116_266	1.509134	0
TOBG-MED-1116_267	1.612216	0
TOBG-MED-1116_269	3.119972	0
TOBG-MED-1116_270	5.183538	0
TOBG-MED-1116_272	2.093352	0
TOBG-MED-1116_273	1.013864	0
TOBG-MED-1116_275	3.000825	0
TOBG-MED-1116_276	5.259873	0
TOBG-MED-1116_277	3.017528	0
TOBG-MED-1116_279	0.507014	0
TOBG-MED-1116_28	1.402796	0
TOBG-MED-1116_280	1.28091	0
TOBG-MED-1116_281	6.318953	0
TOBG-MED-1116_285	3.530423	0
TOBG-MED-1116_287	1.284787	0
TOBG-MED-1116_288	0.616585	0
TOBG-MED-1116_289	1.077998	0
TOBG-MED-1116_290	1.344674	0
TOBG-MED-1116_292	1.038189	0
TOBG-MED-1116_293	0.895159	0
TOBG-MED-1116_297	3.484047	0
TOBG-MED-1116_298	1.773249	0
TOBG-MED-1116_299	2.868437	0
TOBG-MED-1116_30	1.158649	0
TOBG-MED-1116_300	0.950749	0
TOBG-MED-1116_301	2.187413	0
TOBG-MED-1116_302	2.338166	0
TOBG-MED-1116_303	1.046559	0
TOBG-MED-1116_306	1.674608	0
TOBG-MED-1116_307	3.839791	0
TOBG-MED-1116_310	1.148399	0
TOBG-MED-1116_311	0.983151	0
TOBG-MED-1116_312	1.627374	0
TOBG-MED-1116_313	0.619527	0
TOBG-MED-1116_317	0.933656	0
TOBG-MED-1116_32	0.798669	0
TOBG-MED-1116_320	1.050794	0
TOBG-MED-1116_321	0.829281	0
TOBG-MED-1116_322	15.03233	0
TOBG-MED-1116_323	14.057453	0
TOBG-MED-1116_324	1.072498	0
TOBG-MED-1116_325	1.85342	0
TOBG-MED-1116_328	5.638888	0
TOBG-MED-1116_329	2.846339	0
TOBG-MED-1116_33	0.82664	0
TOBG-MED-1116_330	1.908486	0
TOBG-MED-1116_332	3.133882	0
TOBG-MED-1116_333	1.946847	0
TOBG-MED-1116_334	1.341487	0
TOBG-MED-1116_335	1.702053	0
TOBG-MED-1116_337	3.306562	0
TOBG-MED-1116_338	0.845484	0
TOBG-MED-1116_339	0.636227	0
TOBG-MED-1116_340	2.26672	0
TOBG-MED-1116_343	1.513532	0
TOBG-MED-1116_344	3.430025	0
TOBG-MED-1116_345	1.099755	0
TOBG-MED-1116_346	9.271363	0
TOBG-MED-1116_347	7.972841	0
TOBG-MED-1116_348	7.861064	0
TOBG-MED-1116_349	7.608849	0
TOBG-MED-1116_35	1.253766	0
TOBG-MED-1116_350	10.150915	0
TOBG-MED-1116_351	6.520738	0
TOBG-MED-1116_352	16.197371	0
TOBG-MED-1116_353	0.831938	0
TOBG-MED-1116_354	1.018004	0
TOBG-MED-1116_356	2.084714	0
TOBG-MED-1116_357	1.272196	0
TOBG-MED-1116_358	3.326853	0
TOBG-MED-1116_359	83.795862	0
TOBG-MED-1116_362	0.711163	0
TOBG-MED-1116_363	1.922619	0
TOBG-MED-1116_365	1.612216	0
TOBG-MED-1116_367	2.556921	0
TOBG-MED-1116_368	1.169301	0
TOBG-MED-1116_370	0.80621	0
TOBG-MED-1116_371	4.991356	1.699307
TOBG-MED-1116_373	2.392021	0
TOBG-MED-1116_374	4.173062	0
TOBG-MED-1116_375	1.707177	0
TOBG-MED-1116_377	1.312828	0
TOBG-MED-1116_378	2.144253	0
TOBG-MED-1116_379	2.297426	0
TOBG-MED-1116_380	2.118739	0
TOBG-MED-1116_382	21.001393	0
TOBG-MED-1116_384	1.658778	0
TOBG-MED-1116_387	0.765693	0
TOBG-MED-1116_388	10.993649	0
TOBG-MED-1116_390	5.294141	0
TOBG-MED-1116_391	255.461183	25.238867
TOBG-MED-1116_392	571.219438	56.255285
TOBG-MED-1116_393	6.059522	0
TOBG-MED-1116_394	6.071827	3.207909
TOBG-MED-1116_395	3.156235	0
TOBG-MED-1116_396	1.351674	0
TOBG-MED-1116_397	10.513363	0
TOBG-MED-1116_398	2.414264	0
TOBG-MED-1116_399	1.802493	0
TOBG-MED-1116_4	3.124849	0
TOBG-MED-1116_40	5.399124	0
TOBG-MED-1116_401	2.17191	0
TOBG-MED-1116_403	1.535533	0
TOBG-MED-1116_404	2.071087	0
TOBG-MED-1116_405	6.392302	0
TOBG-MED-1116_406	8.363583	0
TOBG-MED-1116_407	13.51085	0
TOBG-MED-1116_408	6.268829	0
TOBG-MED-1116_409	7.181176	0
TOBG-MED-1116_41	0.555861	0
TOBG-MED-1116_410	8.602698	0
TOBG-MED-1116_411	6.129048	0
TOBG-MED-1116_412	12.07266	0
TOBG-MED-1116_413	1.291176	0
TOBG-MED-1116_414	4.255323	0
TOBG-MED-1116_415	6.540798	0
TOBG-MED-1116_416	5.578324	0
TOBG-MED-1116_418	0.739522	0
TOBG-MED-1116_419	1.153501	0
TOBG-MED-1116_42	1.109151	0
TOBG-MED-1116_421	1.621862	0
TOBG-MED-1116_423	1.753791	0
TOBG-MED-1116_424	0.824017	0
TOBG-MED-1116_428	0.690437	0
TOBG-MED-1116_429	7.846751	0
TOBG-MED-1116_43	3.457782	0
TOBG-MED-1116_430	12.557317	8.40832
TOBG-MED-1116_431	14.353932	0
TOBG-MED-1116_432	5.852722	0
TOBG-MED-1116_433	2.447448	0
TOBG-MED-1116_434	13.601941	0
TOBG-MED-1116_438	1.866746	0
TOBG-MED-1116_439	3.797978	0
TOBG-MED-1116_440	2.447448	0
TOBG-MED-1116_442	6.516859	0.456265
TOBG-MED-1116_444	1.881025	0
TOBG-MED-1116_446	1.57274	0
TOBG-MED-1116_447	2.338166	0
TOBG-MED-1116_448	0.679521	0
TOBG-MED-1116_452	1.11391	0
TOBG-MED-1116_455	1.522407	0
TOBG-MED-1116_458	1.41812	0
TOBG-MED-1116_459	1.9959	0
TOBG-MED-1116_46	1.265993	0
TOBG-MED-1116_460	0.745896	0
TOBG-MED-1116_463	4.216371	0
TOBG-MED-1116_464	1.055064	0
TOBG-MED-1116_465	2.247101	0
TOBG-MED-1116_466	1.961556	0
TOBG-MED-1116_468	4.719814	7.486219
TOBG-MED-1116_469	2.1106	0
TOBG-MED-1116_470	6.777474	0
TOBG-MED-1116_471	8.925791	0
TOBG-MED-1116_472	4.024029	0
TOBG-MED-1116_473	3.112491	0
TOBG-MED-1116_474	7.723344	0
TOBG-MED-1116_475	6.921007	0
TOBG-MED-1116_476	10.594307	0
TOBG-MED-1116_477	3.629119	0
TOBG-MED-1116_478	4.237477	0
TOBG-MED-1116_479	6.178676	0
TOBG-MED-1116_483	12.039709	0
TOBG-MED-1116_484	3.204694	3.779895
TOBG-MED-1116_485	4.531317	0
TOBG-MED-1116_486	15.03233	0
TOBG-MED-1116_487	460.487265	140.667507
TOBG-MED-1116_489	2.595796	0
TOBG-MED-1116_49	4.034021	0
TOBG-MED-1116_490	0.667296	0
TOBG-MED-1116_491	1.586086	0
TOBG-MED-1116_492	0.837304	0
TOBG-MED-1116_496	1.038189	0
TOBG-MED-1116_5	5.519212	0
TOBG-MED-1116_500	1.072681	0
TOBG-MED-1116_501	18.506448	0
TOBG-MED-1116_503	1.266248	0
TOBG-MED-1116_506	0.943838	0
TOBG-MED-1116_507	2.531985	0
TOBG-MED-1116_509	1.941993	0
TOBG-MED-1116_510	0.699664	0
TOBG-MED-1116_512	1.265993	0
TOBG-MED-1116_513	2.595259	0
TOBG-MED-1116_516	0.755755	0
TOBG-MED-1116_517	4.15969	0
TOBG-MED-1116_52	0.487041	0
TOBG-MED-1116_520	2.011362	0
TOBG-MED-1116_521	2.136171	0
TOBG-MED-1116_522	2.26672	0
TOBG-MED-1116_523	0.48032	0
TOBG-MED-1116_524	1.535533	0
TOBG-MED-1116_525	0.741634	0
TOBG-MED-1116_526	1.341487	0
TOBG-MED-1116_528	1.044627	0
TOBG-MED-1116_53	1.508764	0
TOBG-MED-1116_531	0.625498	0
TOBG-MED-1116_532	0.587296	0
TOBG-MED-1116_533	0.449128	0
TOBG-MED-1116_535	3.483061	0
TOBG-MED-1116_536	7.483429	0
TOBG-MED-1116_537	1.874051	0
TOBG-MED-1116_538	0.424874	0
TOBG-MED-1116_539	0.701555	0
TOBG-MED-1116_54	2.471724	0
TOBG-MED-1116_541	3.108612	0
