Gene	DNA	RNA
TOBG-MED-1269_1323	3.70879331761514	48.6416854907022
TOBG-MED-1269_1707	0.668587729647802	3.10165514830921
TOBG-MED-1269_1759	0.462210877939166	6.71243248772862
TOBG-MED-1269_1778	2.76568804012779	98.7378644967458
TOBG-MED-1269_240	0.54072746938396	12.7606138438591
TOBG-MED-1269_482	0.386942592770173	1.40483822134229
TOBG-MED-1269_673	13.0780597246353	1.58271179458717
TOBG-MED-1269_721	3.12420315644066	0.945230655100674
TOBG-MED-1269_757	0.260752659115603	0.315563866308726
TOBG-MED-1270_1005	1.05661985666678	5.96738517959173
TOBG-MED-1270_1024	1.1399119624851	45.5243520916054
TOBG-MED-1270_1051	1.83948410145571	5.24735522551215
TOBG-MED-1270_1072	2.40152271100065	0.363291497334067
TOBG-MED-1270_1113	1.2684734620135	7.67555719931374
TOBG-MED-1270_1138	0.406522820356134	11.8074113639564
TOBG-MED-1270_1194	7.57288146648458	1.7820308609878
TOBG-MED-1270_120	0.883282567789505	10.6895194503532
TOBG-MED-1270_1209	0.50511068996346	6.11286890723789
TOBG-MED-1270_1217	2.78088412826037	20.1926197089638
TOBG-MED-1270_127	5.16449909534068	31.2504828829202
TOBG-MED-1270_1282	8.08177103941535	12.2257378144758
TOBG-MED-1270_1307	0.739942852841208	8.73094631421938
TOBG-MED-1270_1311	0.339450644764176	12.529536329584
TOBG-MED-1270_1328	6.52007615257181	3.20556483034142
TOBG-MED-1270_1332	0.602524894456412	10.2084910750873
TOBG-MED-1270_138	1.49562917063648	7.24006459226048
TOBG-MED-1270_14	7.52505911349879	24.8235250602842
TOBG-MED-1270_15	8.11501883166611	32.0469086914132
TOBG-MED-1270_151	1.76195269397175	4.53118402810662
TOBG-MED-1270_16	42.7707812402862	19.051057288015
TOBG-MED-1270_168	1.278083109453	4.89801339461258
TOBG-MED-1270_178	21.8326667638324	17.1142350376463
TOBG-MED-1270_180	28.5138541601908	222.861424878666
TOBG-MED-1270_21	1.03926265162913	9.85213717718895
TOBG-MED-1270_231	2.74320277150887	44.8177656955051
